"","Station","group_id","Behavioral.category","group_sum","Site","Observer","RFID_DateTime","Treatment","Night","Station_Ammend","behave_sum","behave_prop","Haven","Region","Woylie_density"
"1755","NH47",8,"Other",14.189,"DNWS","TASH","2022-10-11 19:10:00","C",2,"NH47",2.873,0.202480794982028,"Havened","Dryandra",1.185
"1756","NH58",8,"Other",26.371,"DNWS","TASH","2022-10-11 18:56:00","C",2,"NH58",15.432,0.585188274999052,"Havened","Dryandra",1.185
"1757","NH64",8,"Other",49.633,"DNWS","TASH","2022-10-11 20:46:00","C",2,"NH64",2.144,0.0431970664678742,"Havened","Dryandra",1.185
"1758","NH68",8,"Other",5.972,"Dryandra_main","TASH","2022-10-18 23:24:00","F",2,"NH68",2.078,0.34795713328868,"Non-havened","Dryandra",1.39
"1759","WWF12",8,"Other",10.866,"DNWS","GRBL","2022-10-12 19:59:00","C",3,"WWF12",0.25,0.0230075464752439,"Havened","Dryandra",1.185
"1760","WWF16",8,"Other",11.249,"DNWS","TASH","2022-10-12 19:01:00","F",3,"WWF16",1.15,0.102231309449729,"Havened","Dryandra",1.185
"1761","WWF18",8,"Other",45.96,"DNWS","TASH","2022-10-12 19:49:00","F",3,"WWF18",3.627,0.0789164490861619,"Havened","Dryandra",1.185
"1762","WWF4",8,"Other",262.911,"DNWS","GRBL","2022-10-12 23:08:00","F",3,"WWF4",10.864,0.0413219682706315,"Havened","Dryandra",1.185
"1763","BOY3",9,"Other",263.987,"Boyicup","HAZE","2022-04-16 18:45:00","C",2,"BOY3",1.852,0.00701549697522984,"Non-havened","Upper_Warren",0.494
"1764","BOY7",9,"Other",14.984,"Boyicup","GRBL","2022-04-17 18:32:00","F",3,"BOY7",1.598,0.106647090229578,"Non-havened","Upper_Warren",0.494
"1765","BOY8",9,"Other",1.825,"Boyicup","GRBL","2022-04-17 19:25:00","F",3,NA,0,0,"Non-havened","Upper_Warren",0.494
"1766","I16",9,"Other",30.265,"Perup_Sanctuary","TASH","2022-04-17 18:40:00","C",2,NA,0,0,"Havened","Upper_Warren",0.83
